,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
175,1990-0346-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Oklahoma, Kansas, Nebraska, Missouri, Iowa, Illinois, Alabama, Georgie",,,,1990,3,13,1990,3,17,15
176,1990-0357-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Arkansas, Virginie, Caroline du Nord",,,,1990,5,1,1990,5,9,13
177,1990-0359-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Arkansas, Kansas, Missouri, Illinois, Indiana, Kentucky",,,,1990,5,14,1990,5,17,
178,1990-0360-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Nebraska, Iowa, Kansas, Missouri, Texas, Oklahoma, Arkansas",,,,1990,5,18,1990,5,21,
179,1990-0363-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Colorado, Kansas, Missouri, Indiana, Kentucky",,,,1990,6,6,1990,6,8,
180,1990-0350-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Texas,,,,1990,4,5,1990,4,5,
181,1990-0353-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Oklahoma,,,,1990,4,16,1990,4,17,
182,1990-0355-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Texas, Kansas, Louisiane, Alabama, Georgie, Caroline du Sud",,,,1990,4,24,1990,4,28,
183,1990-0362-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Indiana, Illinois, Ohio, Kansas, Kentucky",,,,1990,6,1,1990,6,3,10
184,1990-0707-USA,1990,Hydrological,Flood,Riverine flood,,"Washington, Oregon, Idaho, Montana, Wyoming, Colorado",Heavy rain,,,1990,1,9,1990,1,11,3
187,1990-0366-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Illinois, Indiana, Ohio",,,,1990,6,14,1990,6,14,21
188,1990-0378-USA,1990,Meteorological,Storm,Convective storm,Severe storm,Colorado,,,,1990,7,11,1990,7,11,
189,1990-0398-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana, New York, Kentucky, Tennessee, Georgie",,,,1990,8,28,1990,8,28,24
190,1990-0413-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Caroline Du Nord, Virginie, Maryland, Pennsylvanie, New Jersey, Connecticut, New York",,,,1990,10,18,1990,10,18,
191,1990-0419-USA,1990,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana, Missouri",,,,1990,11,27,1990,11,27,
192,1990-0187-USA,1990,Geophysical,Earthquake,Ground movement,,Southern California,,34.140 N,117.70 W,1990,2,28,1990,2,28,
193,1990-0703-USA,1990,Geophysical,Earthquake,Ground movement,,Alamo (central California),,37.885 N,121.983 W,1990,3,30,1990,3,30,
194,1990-0713-USA,1990,Hydrological,Flood,Flash flood,,"Vicksburg (Warren county, Mississippi)",Brief torrential rain,,,1990,5,31,1990,6,2,
195,1990-0708-USA,1990,Hydrological,Flood,Riverine flood,,Baton Rouge (Louisiana),Heavy rain,,,1990,1,25,1990,1,27,
196,1990-0254-USA,1990,Meteorological,Extreme temperature,Cold wave,,"Washington, Ohio, Illinois, Indiana",,,,1990,12,20,1990,12,20,
197,1990-0373-USA,1990,Meteorological,Extreme temperature,Heat wave,,"Californie, Arizona, Colorado",,,,1990,6,25,1990,6,25,11
198,1990-0135-USA,1990,Biological,Epidemic,Viral disease,,Florida,,,,1990,7,,1990,7,,3
199,1990-0073-USA,1990,Hydrological,Flood,,,Shadyside (Ohio state),,,,1990,6,21,1990,6,21,35
200,1990-0420-USA,1990,Meteorological,Storm,,,,,,,1990,12,18,1990,12,18,79
202,1991-0485-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Californie, Arizona",,,,1991,2,27,1991,2,28,
203,1991-0484-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Texas, Louisiane",,,,1991,2,18,1991,2,19,
204,1991-0486-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Louisiane, Mississippi, Alabama, Georgie, North Carolina, South Carolina, Floride, New York",,,,1991,3,1,1991,3,4,
205,1991-0500-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Texas, Kansas, Iowa, Louisiane, Nebraska, Missouri, Mississippi, Oklahoma, Alabama, Georgie, Arkansas",,,,1991,4,26,1991,4,29,33
207,1991-0515-USA,1991,Meteorological,Storm,Convective storm,Hail,Montana,,,,1991,6,24,1991,6,24,
208,1991-0508-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Nevada, Colorado, Kansas, Nebraska, Oklahoma, Texas",,,,1991,5,30,1991,5,30,
209,1991-0513-USA,1991,Meteorological,Storm,Convective storm,Tornado,"South Dakota, Minnesota",,,,1991,6,17,1991,6,17,
210,1991-0514-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Colorado, Texas, Kansas, Nebraska, Oklahoma, Missouri",,,,1991,6,21,1991,6,21,
211,1991-0516-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Wisconsin, Ohio, Maryland, Michigan, Indiana, Kentucky, Virginie",,,,1991,7,7,1991,7,7,
212,1991-0540-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Kansas, Missouri, Illinois",,,,1991,10,2,1991,10,2,
213,1991-0546-USA,1991,Meteorological,Storm,Convective storm,Tornado,"Washington, Oregon, Texas, Arkansas, Ten Nessee, Illinois, Louisiane, Mississippi",,,,1991,11,16,1991,11,16,
214,1991-0422-USA,1991,Meteorological,Storm,Convective storm,Sand/Dust storm,California,,,,1991,11,30,1991,11,30,15
215,1991-0488-USA,1991,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Illinois, Indiana",,,,1991,3,11,1991,3,11,
216,1991-0192-USA,1991,Geophysical,Earthquake,Ground movement,,Pasadena area (California),,34.10 N,118.09 W,1991,6,28,1991,6,28,2
217,1991-0490-USA,1991,Hydrological,Flood,Riverine flood,,"Arkansas, Oklahoma, Texas, Indiana, Iowa, Mississippi, Tennessee, Illinois, Kentucky, Missouri",,,,1991,3,21,1991,3,21,
218,1991-0491-USA,1991,Hydrological,Flood,Riverine flood,,"Kansas, Missouri, Ohio, Illinois, Wisconsin, New York, Indiana, Tennessee, Michigan, Alabama, Pennsylvanie, Kentucky",,,,1991,3,26,1991,3,26,
219,1991-0492-USA,1991,Hydrological,Flood,Riverine flood,,"Alabama, Georgie, North + South Carolina",,,,1991,3,28,1991,3,28,
220,1991-0493-USA,1991,Hydrological,Flood,Riverine flood,,"Tennessee, Pennsylvanie, West Virginia, Kentucky",,,,1991,4,8,1991,4,8,
221,1991-0494-USA,1991,Hydrological,Flood,Riverine flood,,"Nebraska, Kansas, Texas, Oklahoma, Louisiane, Arkansas, Mississippi",,,,1991,4,11,1991,4,11,
222,1991-0496-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Arizona, Floride, Louisiane, Mississippi, Alabama, Georgie",,,,1991,4,18,1991,4,18,
223,1991-0499-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Floride, Louisiane",,,,1991,4,24,1991,4,24,
224,1991-0501-USA,1991,Hydrological,Flood,Riverine flood,,"Texas, Alabama, Georgie, Louisiane, Mississ Ippi, Arkansas, Missouri, Kansas, Illinois, Nebraska, Oklahoma",,,,1991,5,2,1991,5,2,
225,1991-0502-USA,1991,Hydrological,Flood,Riverine flood,,"North + South Dakota, Nebraska",,,,1991,5,10,1991,5,10,
226,1991-0503-USA,1991,Hydrological,Flood,Riverine flood,,"Illinois, Indiana, Iowa, Wyoming, Colorado, Oklahoma, Kansas, Missouri, Nebraska",,,,1991,5,15,1991,5,15,
227,1991-0504-USA,1991,Hydrological,Flood,Riverine flood,,Texas,,,,1991,5,21,1991,5,21,
228,1991-0505-USA,1991,Hydrological,Flood,Riverine flood,,"Colorado, Texas, Kansas, Oklahoma, Missouri",,,,1991,5,23,1991,5,23,
229,1991-0218-USA,1991,Meteorological,Storm,Tropical cyclone,,"North Carolina, Delaware, New York, Richmond, Maine, Rhode Island, Connecticut, Massachusetts, Indiana, Michigan, Ohio, Kentucky",,,,1991,8,18,1991,8,20,18
230,1991-0423-USA,1991,Meteorological,Storm,Tropical cyclone,,"New England, New York, New Jersey",,,,1991,10,30,1991,10,30,2
231,1991-0543-USA,1991,Meteorological,Storm,Tropical cyclone,,"Massachusetts, New York, Rhode Island, New Jersey, Connecticut",,,,1991,10,29,1991,10,29,2
232,1991-0425-USA,1991,Climatological,Wildfire,Forest fire,,"Washington, Idaho, Montana, Wyoming, Colorado",,,,1991,10,17,1991,10,17,2
233,1991-0426-USA,1991,Climatological,Wildfire,Forest fire,,Oakland,,,,1991,10,21,1991,10,22,26
234,1991-9476-USA,1991,Climatological,Drought,Drought,,California,,,,1991,1,,1991,7,,
235,1991-9523-USA,1991,Climatological,Drought,Drought,,"Pennsylvania, Maryland",,,,1991,7,,1991,7,,
236,1991-0406-USA,1991,Meteorological,Storm,,,Texas,,,,1991,12,15,1991,12,15,17
237,1991-0487-USA,1991,Hydrological,Flood,,,"Californie, Nevada",,,,1991,3,2,1991,3,2,
238,1991-0776-USA,1991,Hydrological,Flood,,,Texas,,,,1991,12,18,1992,1,10,15
240,1992-0271-USA,1992,Meteorological,Storm,Tropical cyclone,,"Kauai, Nihau, Oahu, Hawai",,,,1992,9,11,1992,9,12,6
242,1992-0188-USA,1992,Meteorological,Storm,Convective storm,Hail,"Louisiana, Kansas, Missouri",,,,1992,4,10,1992,4,10,
243,1992-0191-USA,1992,Meteorological,Storm,Convective storm,Hail,"Texas, Mississipi, Alabama",,,,1992,4,19,1992,4,19,
244,1992-0179-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Texas, Arizona, Florida",,,,1992,3,3,1992,3,3,
245,1992-0181-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Texas, Louisiana, Mississipi, Alabama, North Carolina",,,,1992,3,8,1992,3,8,
246,1992-0185-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Texas, Louisiana, Florida",,,,1992,3,24,1992,3,24,
247,1992-0193-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Oklahoma, Texas",,,,1992,4,28,1992,4,28,
248,1992-0198-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Oklahoma, Texas, Louisiana, Arkansas",,,,1992,5,10,1992,5,10,
249,1992-0203-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"New Mexico, Texas",,,,1992,5,22,1992,5,22,
250,1992-0209-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Colorado, Kansas, Nebraska, South Dakota, Louisiana, Minnesota, Wisconsin, Michigan, Illinois, Indiana, Ohio, Kentucky, Alabama, Mississippi, Okhahoma, Texas",,,,1992,6,14,1992,6,14,
251,1992-0212-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Okhlahoma",,,,1992,6,19,1992,6,19,
252,1992-0214-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Colorado, New Mexico, Okhlahoma, Texas",,,,1992,6,24,1992,6,24,
253,1992-0219-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana",,,,1992,7,2,1992,7,2,
254,1992-0267-USA,1992,Meteorological,Storm,Convective storm,Severe storm,New York,,,,1992,7,5,1992,7,5,
255,1992-0268-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Louisiana, Illinois, Missouri, Ohio, Pennsylvania, New York, Connecticut, Rhode Island, New Jersey",,,,1992,7,6,1992,7,6,
256,1992-0270-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Okhlahoma, Kansas",,,,1992,9,5,1992,9,5,
257,1992-0272-USA,1992,Meteorological,Storm,Convective storm,Severe storm,Florida,,,,1992,10,3,1992,10,3,
258,1992-0273-USA,1992,Meteorological,Storm,Convective storm,Severe storm,Texas,,,,1992,10,15,1992,10,15,
259,1992-0274-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Kentucky, Ohio, Pennsylvania, New York",,,,1992,11,12,1992,11,12,
260,1992-0275-USA,1992,Meteorological,Storm,Convective storm,Severe storm,"Texas, Louisiana, Arkansas, Georgia, Tennessee, Kentucky, Indiana, Ohio, North Carolina",,,,1992,11,21,1992,11,21,27
261,1992-0276-USA,1992,Meteorological,Storm,Convective storm,Severe storm,Alaska,,,,1992,12,,1992,12,,
262,1992-0120-USA,1992,Geophysical,Earthquake,Ground movement,,"Ferndale, Fortuna and Petrolia areas (North California)",,40.415 N,124.603 W,1992,4,25,1992,4,25,
263,1992-0215-USA,1992,Geophysical,Earthquake,Ground movement,,Landers California,,34.00 N,118.15 W,1992,6,28,1992,6,28,1
264,1992-0554-USA,1992,Geophysical,Earthquake,Ground movement,,South California,,33.961,-116.32,1992,4,22,1992,4,22,
265,1992-0066-USA,1992,Meteorological,Storm,Tropical cyclone,,"Florida, Louisiana, Bahamas",,,,1992,8,24,1992,8,24,44
266,1992-0106-USA,1992,Meteorological,Storm,Tropical cyclone,,Majuro ( Marshall Isl.),,,,1992,1,7,1992,1,7,
267,1992-0269-USA,1992,Climatological,Wildfire,Forest fire,,"California, Idaho, Oregon, Utah",,,,1992,8,17,1992,8,17,
268,1992-0383-USA,1992,Climatological,Wildfire,Forest fire,,Tahoe (California),,,,1992,9,29,1992,9,29,
269,1992-0177-USA,1992,Meteorological,Storm,,,"Texas, California",,,,1992,2,9,1992,2,9,8
270,1992-0208-USA,1992,Meteorological,Storm,,,"Texas, Okhahoma, Arkansas, Louisiana",,,,1992,6,14,1992,6,14,
271,1992-0277-USA,1992,Meteorological,Storm,,,California,,,,1992,12,7,1992,12,7,
272,1992-0278-USA,1992,Meteorological,Storm,,,"New Jersey, New York, Pennsylvania, Massachusetts",,,,1992,12,10,1992,12,13,12
279,1993-0425-USA,1993,Meteorological,Storm,Convective storm,Hail,Texas,,,,1993,3,25,1993,3,25,
280,1993-0426-USA,1993,Meteorological,Storm,Convective storm,Hail,Kansas,,,,1993,3,28,1993,3,28,
281,1993-0435-USA,1993,Meteorological,Storm,Convective storm,Hail,"Ohio, Pennsylvania",,,,1993,7,28,1993,7,28,
282,1993-0151-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Tulsa, Catoosa (Oklahoma)",,,,1993,4,24,1993,4,25,7
283,1993-0422-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Kentucky, Tennessee, Georgia",,,,1993,2,21,1993,2,21,3
284,1993-0427-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Georgia, Florida",,,,1993,4,5,1993,4,5,
285,1993-0434-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Oklahoma, Wisconsin, Illinois, Indiana, Ohio, Pennsylvania, New Jersey, Connecticut, New York",,,,1993,6,7,1993,6,9,3
286,1993-0437-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Kansas, Missouri",,,,1993,9,21,1993,9,21,
287,1993-0438-USA,1993,Meteorological,Storm,Convective storm,Tornado,"Brownwood, San Angelo, Del Rio (Texas)",,,,1993,10,12,1993,10,12,
288,1993-0428-USA,1993,Meteorological,Storm,Convective storm,Severe storm,"Texas, Missouri",,,,1993,4,19,1993,4,19,
289,1993-0430-USA,1993,Meteorological,Storm,Convective storm,Severe storm,"Texas, Harris, Galveston",,,,1993,5,,1993,5,,
290,1993-0433-USA,1993,Meteorological,Storm,Convective storm,Severe storm,"Oklahoma, Kansas, Colorado,, Arkansas, Missouri, Illinois, Indiana, Kentucky, West Virginia, Virginia, Nevada",,,,1993,6,2,1993,6,2,
291,1993-0480-USA,1993,Geophysical,Earthquake,Ground movement,,Klamath Falls (Oregon),,42.314,-122.01,1993,9,21,1993,9,21,2
292,1993-0421-USA,1993,Hydrological,Flood,Flash flood,,"Louisiana, Minnesota, Iowa, Ohio, Virginia",Brief torrential rain,,,1993,1,20,1993,1,21,
293,1993-0043-USA,1993,Hydrological,Flood,Riverine flood,,"Okhlahoma, Minnesota, Wisconsin, Iowa, Illinois, Missouri, South Dakota, North Dakota, Nebraska and Kansas",Heavy rain,,,1993,6,24,1993,8,23,48
294,1993-0126-USA,1993,Hydrological,Flood,Riverine flood,,"Boyd, Butler, Colfax, Cuming, Dodge, Merrick, Platte, Sarpy, Saunders, Seward and Stanton (Eastern Nebraska)",Snowmelt,,,1993,3,7,1993,3,12,2
295,1993-0420-USA,1993,Hydrological,Flood,Riverine flood,,"California, Arizona, Nevada, Utah",Heavy rain,,,1993,1,6,1993,1,20,43
296,1993-0201-USA,1993,Meteorological,Storm,Tropical cyclone,,North Carolina,,,,1993,8,28,1993,8,28,1
297,1993-0429-USA,1993,Meteorological,Storm,Tropical cyclone,,Texas,,,,1993,4,28,1993,4,29,
298,1993-0431-USA,1993,Meteorological,Storm,Tropical cyclone,,"Minnesota, Kansas, Oklahoma, South Dakota, Texas, Arkansas, Nebraska, Louisiana",,,,1993,5,5,1993,5,5,3
299,1993-0432-USA,1993,Meteorological,Extreme temperature,Heat wave,,Boston (Washigton),,,,1993,6,,1993,6,,48
300,1993-0440-USA,1993,Climatological,Wildfire,Forest fire,,"San Diego, Laguna Beach, Malibu, Los Angeles, Orange (California)",,,,1993,10,27,1993,11,3,3
301,1993-0562-USA,1993,Biological,Epidemic,Parasitic disease,,Wisconsin,,,,1993,1,,1993,1,,100
302,1993-0099-USA,1993,Hydrological,Flood,,,Washington,,,,1993,1,20,1993,1,20,5
303,1993-0100-USA,1993,Meteorological,Storm,,,"California, Nevada, Utah, Arizona",,,,1993,1,12,1993,1,12,
304,1993-0123-USA,1993,Hydrological,Flood,,,,,,,1993,2,28,1993,2,28,
305,1993-0193-USA,1993,Meteorological,Storm,,,Virginia,,,,1993,8,6,1993,8,6,4
306,1993-0423-USA,1993,Meteorological,Storm,,,"Maryland, Delaware, New Jersey, Pennsylvania",,,,1993,3,4,1993,3,4,
307,1993-0424-USA,1993,Meteorological,Storm,,,"Texas, Louisiana, Mississipi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, Pennsylvannia, New York, Connecticut, Rhode Island, Massachusetts, Vermont, New Hampshire, Maine, Tennessee, Kentucky, Ohio, West Virginia",,,,1993,3,12,1993,3,12,270
308,1993-0436-USA,1993,Meteorological,Storm,,,Pueblo (Colorado),,,,1993,8,4,1993,8,4,
309,1994-0002-USA,1994,Geophysical,Earthquake,Ground movement,,"Los Angeles, Ventura, Orange, San Bernardino Counties (California)",,0.34 N,30.12 E,1994,1,17,1994,1,17,60
313,1994-0023-USA,1994,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"New York, Washington, New Jersey, Pennsylvannia, Illinois, Ohio, Virginia, Tennessee, Kentucky, North and South Carolina, Connecticut",,,,1994,1,14,1994,1,20,69
314,1994-0019-USA,1994,Meteorological,Storm,Convective storm,Tornado,"Georgia, Alabama, Texas, Louisiana, Mississippi, Arkansas, Tennessee,South Carolina, North Carolina",,,,1994,3,26,1994,3,26,44
315,1994-0045-USA,1994,Hydrological,Landslide,Mudslide,,Malibu (California),,,,1994,2,20,1994,2,20,
541,1994-0510-USA,1994,Meteorological,Storm,Tropical cyclone,,,,,,1994,11,13,1994,11,18,6
542,1994-0361-USA,1994,Hydrological,Flood,Riverine flood,,"Houston, Galveston (Texas)",Heavy rain,,,1994,10,17,1994,10,23,37
544,1994-0339-USA,1994,Meteorological,Storm,Convective storm,Hail,"Denver (Colorado), Illinois",,,,1994,10,7,1994,10,7,
545,1994-0784-USA,1994,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Texas, Lousiana, Arkansas, Mississippi, Alabama, Georgia, Tennessee, Kentucky, West Virginia, South Carolina, North Carolina",,,,1994,2,10,1994,2,12,6
546,1994-0100-USA,1994,Meteorological,Storm,Convective storm,Severe storm,"Texas, Missouri, Kentucky",,,,1994,4,15,1994,4,15,3
547,1994-0599-USA,1994,Geophysical,Earthquake,Ground movement,,Eureka,,34.17 N,118.27 W,1994,12,26,1994,12,26,
548,1994-0152-USA,1994,Meteorological,Storm,Tropical cyclone,,"Georgia, Michigan, Florida, Alabama",,,,1994,7,,1994,7,,32
549,1994-0149-USA,1994,Climatological,Wildfire,Forest fire,,Los Angeles,,,,1994,6,27,1994,6,27,
550,1994-0154-USA,1994,Climatological,Wildfire,Forest fire,,Colorado,,,,1994,7,6,1994,7,6,13
551,1994-0192-USA,1994,Climatological,Wildfire,Forest fire,,"California, Montana, Iadaho, Oregon, Utah, Nevada, Washington states",,,,1994,8,6,1994,8,6,
552,1994-0106-USA,1994,Meteorological,Storm,,,"Texas, Oklahoma, Arkansas, Colorado, Kansas, Nebraska, Iowa, South Dakota, illinois, Indiana, Minnesota",,,,1994,4,26,1994,4,26,3
553,1994-0146-USA,1994,Meteorological,Storm,,,"Georgia, Alabama, Kentucky, North Carolina, South Carolina",,,,1994,6,27,1994,6,27,2
556,1995-0489-USA,1995,Meteorological,Storm,Convective storm,Tornado,"texas, Oklahoma, Kansas, Ohio, Pennsylvannia",,,,1995,5,22,1995,5,25,3
557,1995-0492-USA,1995,Meteorological,Storm,,,"California, Oregon, washington",,,,1995,12,11,1995,12,13,6
558,1995-0245-USA,1995,Meteorological,Storm,Tropical cyclone,,"Florida, Georgia, Alabama, North Carolina",,,,1995,10,4,1995,10,8,19
559,1995-0404-USA,1995,Meteorological,Storm,Tropical cyclone,,"Florida, Alabama, Mississipi",,,,1995,7,31,1995,8,6,11
560,1995-0026-USA,1995,Meteorological,Storm,,,"California, Oregon, Florida, North Carolina, Middle West",,,,1995,1,6,1995,1,10,20
561,1995-0041-USA,1995,Meteorological,Storm,,,"California, Washington, Oregon, Nevada, Texas",,,,1995,3,8,1995,3,20,33
564,1995-0083-USA,1995,Meteorological,Storm,Convective storm,Tornado,"Alabama, Colorado, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Missouri, Nebraska, Oklahoma, Texas, Tennessee, Virginia",,,,1995,5,16,1995,5,19,5
565,1995-0045-USA,1995,Hydrological,Flood,Riverine flood,,Louisiana (New orleans),Heavy rains,,,1995,5,7,1995,5,13,6
566,1995-0481-USA,1995,Hydrological,Flood,Riverine flood,,"Wsahington, Oregon",Rain and snowmelt,,,1995,11,28,1995,12,10,2
567,1995-0483-USA,1995,Hydrological,Flood,Riverine flood,,Alaska,Heavy rain,,,1995,9,18,1995,10,16,
568,1995-0488-USA,1995,Hydrological,Flood,Riverine flood,,"Mississippi, Missouri, Illinois, Kansas, Nebarska, Oklahoma",Heavy rain,,,1995,5,10,1995,6,1,3
569,1995-0208-USA,1995,Meteorological,Storm,Tropical cyclone,,,,,,1995,9,14,1995,9,19,8
570,1995-0288-USA,1995,Meteorological,Extreme temperature,Cold wave,,"Atlanta, Detroit, Philadelphia, Chicago, Milwaukee",,,,1995,12,9,1995,12,9,40
571,1995-0150-USA,1995,Meteorological,Extreme temperature,Heat wave,,"Missouri, Oklahoma, Ilinois, Wisconsin, Iowa, New-York, Chicago, Washington (Dc)",,,,1995,7,14,1995,7,14,670
572,1995-0046-USA,1995,Hydrological,Flood,,,South Dakota,,,,1995,5,8,1995,5,8,
573,1995-0073-USA,1995,Meteorological,Storm,,,"Texas, Los Angeles, New Mexique, Dallas, Fort Worth",,,,1995,5,5,1995,5,6,18
574,1995-0143-USA,1995,Hydrological,Flood,,,Blue Ridge Mountain Canyon,,,,1995,7,2,1995,7,2,8
575,1995-0403-USA,1995,Meteorological,Storm,,,"Texas, Oklahoma, Missourri, Kansas, Arkanasas, Los Angeles, Mississipi, Iowa, Illinois",,,,1995,5,7,1995,5,7,27
580,1996-0295-USA,1996,Hydrological,Flood,Riverine flood,,"Washington, Oregon, Nevada, Idaho",Rain and snowmelt,,,1996,12,27,1997,1,3,28
581,1996-0199-USA,1996,Meteorological,Storm,Tropical cyclone,,"North Carolina, South Carolina, Virginia, Maryland, West Virginia, Pennsylvania, Ohio, Washington DC",,,,1996,9,5,1996,9,11,39
584,1996-0274-USA,1996,Meteorological,Storm,Convective storm,Tornado,Texas,,,,1996,11,25,1996,11,25,19
585,1996-0454-USA,1996,Meteorological,Storm,Convective storm,Tornado,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Missouri, Iowa, Illinois, Indiana, Kentucky, Tennessee",,,,1996,4,19,1996,4,19,6
586,1996-0449-USA,1996,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Indiana, Ohio, Kentucky, West Virginia, North Carolina, Virginia, Maryland, Delaware, Pennsylvania, New Jersey, New York, Connecticut, Massachusetts, Vermont, New Hampshire",,,,1996,1,6,1996,1,6,32
587,1996-0450-USA,1996,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Maryland, Pennsylvania, New Jersey, New York, Connecticut",,,,1996,1,12,1996,1,12,120
588,1996-0451-USA,1996,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Minnesota, Wisconsin, Michigan, Iowa, Nebraska, Kansas, Oklahoma, Texas, Louisiana, Arkansas, Missouri, Illinois, Indiana, Kentucky, Tennessee, Mississipi, Alabama, Florida, Georgia, S & N Carolina, Virgina, West Virginia, Maryland, Delaware, Pennsylvania, New Jersey, New York +",,,,1996,1,31,1996,1,31,59
589,1996-0453-USA,1996,Meteorological,Storm,Convective storm,Severe storm,"Arkansas, Louisiana, Mississippi, Alabama, Tannesse, Georgia",,,,1996,3,5,1996,3,5,6
590,1996-0455-USA,1996,Meteorological,Storm,Convective storm,Severe storm,"Kansas, Missouri, Illinois, Indiana, Ohio",,,,1996,4,27,1996,4,27,6
591,1996-0015-USA,1996,Hydrological,Flood,Riverine flood,,"Nevada, Arizona, New Mexico, Texas, Arkansas, Mississippi, Missouri, Minnesota,Virginia, Maryland, Delaware, Pennsylvania, New Jersey, New York, Connecticut, Massachusetts",Snowmelt,,,1996,1,15,1996,1,21,35
592,1996-0031-USA,1996,Hydrological,Flood,Riverine flood,,"Washington, Oregon, Idaho, Montana","Heavy rains, Snowmlet",,,1996,2,7,1996,2,13,7
593,1996-0494-USA,1996,Hydrological,Flood,Riverine flood,,Western Pennsylvania,Heavy rain,,,1996,7,18,1996,7,21,2
594,1996-0250-USA,1996,Climatological,Wildfire,Forest fire,,California,,,,1996,10,19,1996,10,19,
595,1996-0452-USA,1996,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,"Texas, Kensas, Oklahoma",,,,1996,2,24,1996,2,24,1
596,1996-0247-USA,1996,Meteorological,Storm,,,"Pensylvania, New York, New Jersey, Connecticut, Rhode Islands, Massachusetts, New Halpshire, Vermont, Maine",,,,1996,10,20,1996,10,20,
600,1997-0112-USA,1997,Meteorological,Storm,Convective storm,Hail,"Texas, Louisiana, Florida",,,,1997,5,20,1997,5,27,28
601,1997-0083-USA,1997,Hydrological,Flood,,,"Grand Forks, Fargo",Snow melt,,,1997,4,17,1997,5,7,3
602,1997-0008-USA,1997,Hydrological,Flood,Riverine flood,,"Nevada, Idaho, California",Heavy rain,,,1997,1,1,1997,2,7,20
604,1997-0034-USA,1997,Meteorological,Storm,Convective storm,Tornado,"Arkansas, Ohio, Kentucky, Texas, Mississippi, Tennessee,West Virginia",,,,1997,2,28,1997,3,3,70
609,1997-0341-USA,1997,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Minnesota, Michigan, Indiana, Ohio, West Virginia, Massachusets, New Hampshire",,,,1997,7,,1997,7,,16
610,1997-0349-USA,1997,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,Denver (Colorado),,,,1997,8,11,1997,8,11,5
611,1997-0317-USA,1997,Meteorological,Storm,Convective storm,Tornado,"Alabama, Tennessee",,,,1997,1,24,1997,1,24,1
