,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
2284,2014-0192-USA,2014,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Kansas, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut provinces",,,,2014,5,18,2014,5,23,
2285,2014-0540-USA,2014,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",,,,2014,6,3,2014,6,6,2
2293,2014-0459-USA,2014,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"New York, New Hampshire, Michigan provinces",,,,2014,11,15,2014,11,19,13
2294,2014-0317-USA,2014,Hydrological,Flood,Riverine flood,,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvanie, Maryland provinces",Excessive rainfall,,,2014,8,11,2014,8,13,2
2295,2014-0310-USA,2014,Meteorological,Storm,Tropical cyclone,,Hawaii province,,,,2014,8,8,2014,8,10,1
2296,2014-0165-USA,2014,Climatological,Wildfire,Forest fire,,"Hutchinson district (Texas province), San Diego district (California province)","Excessive heat, drougth and winds",,,2014,5,11,2014,5,20,2
2297,2015-0211-USA,2015,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Texas, Oklahoma, Kansas, Nebraska, Missouri, Colorado, Minnesota, South Dakota provinces",,,,2015,5,6,2015,5,13,4
2298,2015-0488-USA,2015,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Austin, Houston districts (Texas province), Lousiana province",,,,2015,10,29,2015,11,3,6
2299,2015-0155-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Texas, Louisiana, Alabama, Mississippi, Kentucky, Georgia, Florida provinces",,,,2015,4,24,2015,4,28,4
2300,2015-0180-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Kansas, Nebraska, Texas, Oklahoma, Minnesota, Iowa, Wisconsin provinces",,,,2015,5,3,2015,5,5,1
2301,2015-0245-USA,2015,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Colorado, Illinois provinces",,,,2015,6,3,2015,6,8,
2302,2015-0138-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",,,,2015,4,7,2015,4,10,3
2303,2015-0326-USA,2015,Meteorological,Storm,Convective storm,Severe storm,"Illinois, Indiana, Wisconsin, Minnesota, Ohio, Iowa, Kentucky, Tennessee, Missouri, South Carolina, North Carolina",,,,2015,7,12,2015,7,14,4
2305,2015-0401-USA,2015,Climatological,Wildfire,,,"California, Idaho, Montana, Oregon, Washington provinces","High temperature, Ligthning",,,2015,8,13,2015,8,31,4
2306,2015-0123-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",,,,2015,3,25,2015,3,26,1
2307,2015-0400-USA,2015,Meteorological,Storm,Convective storm,Severe storm,"Chicago, Lincolnwood towns (Cook district, Illinois province), Wood Dale town (DuPage district, Illinois province), Lancaster town (Coos district, New Hampshire province), Indiana, Ohio, Connecticut, Michigan, Massachusetts, Wisconsin, Rhode Island, Maine, New York provinces",,,,2015,8,2,2015,8,4,4
2308,2015-0565-USA,2015,Hydrological,Flood,,,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",Heavy rains,356.658,-910.83,2015,12,15,2016,1,6,31
2309,2015-0046-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Tennessee, Kansas, District of Columbia, Boston, Ohio, Virginia, Georgia, North Carolina, South Carolina provinces",,,,2015,2,16,2015,2,22,10
2310,2015-0072-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Illinois, Michigan, Massachusetts, New York, Connecticut, Indiana provinces",,,,2015,1,31,2015,2,4,22
2311,2015-0558-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Dallas, Ellis, Collin districts (Texas province), Mississippi, Tennessee, Arkansas, Alabama, Georgia, New Mexico, Missouri, Kentucky, Indiana, Oklahoma, Illinois provinces",,,,2015,12,26,2015,12,30,45
2312,2015-0531-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Texas, Kansas, Oklahoma provinces",Heavy rain,,,2015,11,25,2015,12,4,18
2313,2015-0459-USA,2015,Meteorological,Storm,Tropical cyclone,,"South Carolina, North Carolina",,335.033,-804.93,2015,10,1,2015,10,13,21
2314,2015-0026-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",,,,2015,1,26,2015,1,28,2
2315,2015-0212-USA,2015,Hydrological,Flood,Flash flood,,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",Heavy rain,34.1936,-97.99,2015,5,23,2015,5,30,32
2326,2015-0177-USA,2015,Meteorological,Storm,Convective storm,Tornado,"Nashville town (Howard district, Arkansas province); Van town (Van Zandt district, Texas province), Delmond town (Douglas district, South Dakota province), Colorado, Oklahoma, Kansas, Iowa provinces",,,,2015,5,6,2015,5,13,6
2327,2015-0025-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Illinois, Wisconsin, Pennsylvania provinces",,,,2015,1,6,2015,1,11,15
2328,2015-0073-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Massachusetts, New York, Tennessee, Maryland, Virginia, Pennsylvania, Kentucky, North Carolina, Michigan, Rhode Island, New Hampshire, Ohio, South Carolina, Illinois, District of Columbia, Maine, Vermont provinces",,,,2015,2,16,2015,2,22,30
2329,2015-0122-USA,2015,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",,,,2015,3,3,2015,3,5,13
2330,2015-0186-USA,2015,Hydrological,Flood,Flash flood,,"San Marcos area (Hays district, Texas province), Claremore area (Hays district, Oklahoma province)",Torrential rains,,,2015,5,24,2015,5,24,16
2331,2015-0431-USA,2015,Hydrological,Flood,Flash flood,,"Hildale town (Washington district, Utah province), Las Vegas town (Clark district, Nevada province)",Torrentila rains,,,2015,9,14,2015,9,14,19
2332,2015-0421-USA,2015,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,"Lake, Napa, Sonoma, Butte districts (California province)","High tempertaures, gusty winds, dry soil, vast swathes of dried vegetation and brush",,,2015,9,13,2015,9,20,4
2333,2015-0613-USA,2015,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,"Amador, Calaveras (California)",,,,2015,9,9,2015,9,14,3
2334,2015-9210-USA,2015,Climatological,Drought,Drought,,"California, Nevada, Oregon, Washington, Idaho, Montana, Utah, Arizona provinces",,,,2015,1,,2015,12,,
2335,2015-0312-USA,2015,Climatological,Wildfire,,,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)","Drought conditions, gusty winds, warm temperatures, lightening",,,2015,7,22,2015,8,13,1
2336,2015-0399-USA,2015,Hydrological,Flood,,,"Hillsborough, Pasco, Pinellas, Dixie, Taylor districts (Florida province)",,,,2015,7,24,2015,8,5,
2338,2016-0012-USA,2016,Meteorological,Storm,Convective storm,Severe storm,"Ventura, Orange, San Diego, Los Angles districts (California province)",Pacific storm systems fueled by El Nino,,,2016,1,4,2016,1,8,
2339,2016-0203-USA,2016,Meteorological,Storm,Convective storm,,"Greenbier district (West Virginia province); Ohio, Indiana, Illinois, Wisconsin, Virginia",Torrential rain,349.452,805.54,2016,6,22,2016,6,26,25
2341,2016-0125-USA,2016,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Kansas, Virginia, North Carolina, Georgia, Missouri, Illinois, West Virginia provinces",,,,2016,4,25,2016,5,4,6
2342,2016-0322-USA,2016,Meteorological,Storm,Tropical cyclone,,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",,,,2016,9,1,2016,9,6,3
2345,2016-0331-USA,2016,Hydrological,Flood,Riverine flood,,"Minnesota; Buffalo, Chippewa, Clark, Columbia, Crawford, Eau Claire, Jackson, La Crosse, Monroe, Richland, Sauk, Trempealeau, and Vernon (Wisconsin); Allamakee, Benton, Black Hawk, Bremer, Buchanan, Butler, Cedar, Chickasaw, Delaware, Floyd, Franklin, Linn, Wright (Iowa)",Excessive rains and thunderstorms,,,2016,9,19,2016,9,23,1
2349,2016-0123-USA,2016,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Dallas-Fort Worth (Dallas, Wise, Tarrant, Denton, Parker), Wylie, Plano, Little Elm, Rockwall, Bettie, Emory in Collin, Denton, Upshur, Rockwall, Rains, San Antonio metro regions, Helotes, Alamo Heights, Kirby, Hollywood Park, Carrizo Springs, Terrel Hills (Bexar, Dimmit) (Texas), Oklahoma, Kansas, Missouri, Arkansas, Mississippi, Louisiana",,,,2016,4,10,2016,4,15,1
2350,2016-0150-USA,2016,Meteorological,Storm,Convective storm,Tornado,"Oklahoma, Colorado, Nebraska, Kansas, Iowa, Missouri, Arkansas, Illinois, Kentucky, Texas,Tennessee provinces",,,,2016,5,7,2016,5,10,2
2351,2016-0477-USA,2016,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Alabama, Mississippi, Tennessee, Georgia, South Carolina, Louisiana, North Carolina provinces",,,,2016,11,26,2016,12,1,8
