StateCode,Year,projectamount
MS,2003,7687538.34
MS,2004,16566020.97
MS,2005,3192691307
MS,2008,38341468.19
MS,2009,3517001.86
MS,2010,14282135.21
MS,2011,41292653.95
MS,2012,49525769.63
MS,2013,5898143.7
MS,2014,118646602.3
MS,2015,3819805.11
MS,2016,19325261.62
MS,2017,47926348.99
MS,2019,65749755.38
MS,2020,10701143.14
MT,2000,2732995.02
MT,2001,2170397.8
MT,2002,1815847.54
MT,2005,114693.39
MT,2008,4471525.67
MT,2010,12586961.59
MT,2011,56329082.14
MT,2012,1729143.74
MT,2013,3692993.49
MT,2014,4727135.18
MT,2016,6601956.02
MT,2018,4955747.58
MT,2019,1395217.22
MT,2020,120435.84
NC,1999,329671110.4
NC,2000,35511158.11
NC,2002,112881950.4
NC,2003,111959928.5
NC,2004,65212282.19
NC,2005,30929353.23
NC,2008,6160032.54
NC,2010,25649675.6
NC,2011,142789654
NC,2013,28195218.09
NC,2014,48514579.89
NC,2016,381074003.5
NC,2018,811563455.4
NC,2019,58814731.15
NC,2020,224646669.8
ND,1999,52274232.98
ND,2000,44203264
ND,2001,30242080.47
ND,2002,1450730.21
ND,2003,1103828.67
ND,2004,16650764.41
ND,2005,21130663.7
ND,2006,12014897.24
ND,2007,14821889.33
ND,2009,128347524.2
ND,2010,84917125.33
ND,2011,256404520.4
ND,2013,28972864.82
ND,2014,3111683.97
ND,2017,7171224.62
ND,2019,10482380.53
ND,2020,6830349.12
NE,1999,2653777.96
NE,2001,5613695.96
NE,2003,4965782.51
NE,2004,17247515.43
NE,2005,2514287.61
NE,2006,6972395.22
NE,2007,175567624.8
NE,2008,68880103.23
NE,2009,12808882.59
NE,2010,82264633.13
NE,2011,88182385.91
NE,2013,3587337.86
NE,2014,36317046.52
NE,2015,19254275.36
NE,2017,24054699.39
NE,2018,13317094.56
NE,2019,142263153.7
NE,2020,46002.99
NH,1999,750132.85
NH,2001,4358527.2
NH,2003,4136577.57
NH,2004,3352555.84
NH,2005,24536658.6
NH,2006,18521260.15
NH,2007,29838783.29
NH,2008,7686262.43
NH,2009,19862626.63
NH,2010,12439712.77
NH,2011,30852103.91
NH,2012,7727336.31
NH,2013,16047634.21
NH,2015,6510527.74
NH,2017,9841428.24
NH,2018,16769000.22
NH,2019,1880477.18
NH,2020,192946.77
NJ,1999,52503111.11
NJ,2000,9204179.43
NJ,2001,87045908.3
NJ,2003,48916734.65
NJ,2004,14955828.04
NJ,2005,344943.26
NJ,2006,2896174.39
NJ,2007,23582801.9
NJ,2009,16148251.56
NJ,2010,78952084.19
NJ,2011,279733650.8
NJ,2012,2225771999
NJ,2015,15311214.77
NJ,2016,107857192.9
NJ,2018,40444796.63
NJ,2020,216265799.4
NM,1999,2503471.38
NM,2000,10353046.14
NM,2004,5737149.18
NM,2005,992891.56
NM,2006,42314721.33
NM,2008,51346274.53
NM,2010,15804910.85
NM,2011,29178622.9
NM,2012,35861663.94
NM,2013,67405568.91
NM,2014,100712515.9
NM,2017,16751990.26
NM,2020,5148247.25
NV,1999,6143664.89
NV,2004,8261583.36
NV,2005,11550331.61
NV,2006,10075501.52
NV,2008,1469661.8
NV,2014,3351993.99
NV,2017,32184855.07
NV,2020,26499950.27
NY,1999,63119296.83
NY,2000,52316402.33
NY,2001,4730087033
NY,2002,7615330.39
NY,2003,124871275.6
NY,2004,60340127.81
NY,2005,69997375.52
NY,2006,471030472.3
NY,2007,131159386.9
NY,2008,15232303.16
NY,2009,106013774.6
NY,2010,146862878.7
NY,2011,1267568832
NY,2012,16174959598
NY,2013,115426559.2
NY,2014,81001260.6
NY,2017,69103485.23
NY,2018,16675248.86
NY,2019,3358499.2
NY,2020,266172763.5
